Simple Macaroni and Cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/,main-dish,630.2,55.0,26.5,33.6
Gourmet Mushroom Risotto,https://www.allrecipes.com/recipe/85389/gourmet-mushroom-risotto/,main-dish,430.6,56.6,11.3,16.6
Dessert Crepes,https://www.allrecipes.com/recipe/19037/dessert-crepes/,breakfast-and-brunch,163.8,17.2,6.4,7.7
Pork Steaks,https://www.allrecipes.com/recipe/70463/pork-steaks/,meat-and-poultry,353.1,3.9,26.5,25.4
Quick and Easy Pizza Crust,https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/,bread,28.1,0.6,1.1,0.6
Chicken Parmesan,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,world-cuisine,470.8,24.8,42.1,24.9
Easy Sausage Gravy and Biscuits,https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/,trusted-brands-recipes-and-tips,332.8,30.8,9.8,18.7
Homemade Mac and Cheese,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/,main-dish,858.2,66.7,37.7,48.7
Classic Peanut Butter Cookies,https://www.allrecipes.com/recipe/10275/classic-peanut-butter-cookies/,desserts,251.7,29.7,4.5,13.6
Two-Ingredient Pizza Dough,https://www.allrecipes.com/recipe/244447/two-ingredient-pizza-dough/,bread,115.8,18.4,3.8,2.8
Basic Mashed Potatoes,https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,side-dish,257.1,43.7,5.6,7.2
Creamy Lemon Chicken Thighs,https://www.allrecipes.com/recipe/272322/creamy-lemon-chicken-thighs/,meat-and-poultry,247.2,5.2,16.9,16.6
Root Beer Pork Chops,https://www.allrecipes.com/recipe/198617/root-beer-pork-chops/,main-dish,408.6,37.5,41.8,9.3
Easy Sugar Cookies,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/,desserts,11.7,6.3,0.2,2.5
Classic Waffles,https://www.allrecipes.com/recipe/20513/classic-waffles/,breakfast-and-brunch,379.0,47.6,10.2,16.2
Creamy Au Gratin Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,side-dish,498.8,49.3,19.8,25.4
Best Steak Marinade in Existence,https://www.allrecipes.com/recipe/143809/best-steak-marinade-in-existence/,side-dish,145.2,5.6,1.4,13.6
Ground Beef and Cabbage,https://www.allrecipes.com/recipe/229324/ground-beef-and-cabbage/,everyday-cooking,227.9,18.3,18.1,9.5
Juicy Roasted Chicken,https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/,world-cuisine,423.1,1.2,30.9,32.1
Taco Lettuce Wraps,https://www.allrecipes.com/recipe/274968/taco-lettuce-wraps/,world-cuisine,274.6,33.4,22.3,6.5
Okinawan-Style Pad Thai,https://www.allrecipes.com/recipe/220424/okinawan-style-pad-thai/,world-cuisine,596.7,61.6,21.1,31.0
Classic Macaroni Salad,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,salad,390.0,49.3,6.8,18.7
Candied Kielbasa,https://www.allrecipes.com/recipe/14809/candied-kielbasa/,meat-and-poultry,473.3,34.8,14.3,31.1
Microwave Baked Potato,https://www.allrecipes.com/recipe/85337/microwave-baked-potato/,side-dish,517.3,65.4,14.2,23.1
The Best Banana Pudding,https://www.allrecipes.com/recipe/22749/the-best-banana-pudding/,desserts,328.9,56.9,4.2,9.6
Best Lemonade Ever,https://www.allrecipes.com/recipe/32385/best-lemonade-ever/,drinks,144.6,38.2,0.1,0.0
